rating,votes,isbn,author,series,page_count,publisher,reviews,setting,awards,year,genre,title
3.72,"64,293",0679722769,James Joyce,,,Vintage,"3,706",,,January 1st 1920,Classics,Ulysses
3.98,"153,093",0553381679,Jean M. Auel,,,Bantam,"4,088",,,1980,Fiction,The Clan of the Cave Bear
3.62,"128,984",0192840398,Gustave Flaubert,,,Oxford University Press,"5,263",,,1856,Classics,Madame Bovary. Mœurs de province
4.02,"331,604",0743227441,Philippa Gregory,,,Touchstone,"14,330",United Kingdom,"Romantic Novel of the Year (RoNa's) Award (2002), Goodreads Choice Nominee for Fiction (2009)",2001,Historical Fiction,The Other Boleyn Girl
3.48,"425,486",0060987103,Gregory Maguire,,,HarperCollins,"20,444",,,1995,Fantasy,Wicked: The Life and Times of the Wicked Witch of the West
4.32,"185,867",0679805273,Dr. Seuss,,,Random House Books for Young Readers,"2,985",,,,Childrens,"Oh, the Places You'll Go!"
3.78,"177,842",0439227143,Jack London,,,Scholastic,"4,392",,,1903,Classics,The Call of the Wild
4.26,"222,250",0060853980,Terry Pratchett,,,HarperTorch,"9,626",,,January 1st 1990,Fantasy,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
3.77,"156,643",0099910101,Ernest Hemingway,,,Arrow Books,"5,169",,,1929,Fiction,A Farewell to Arms
4.15,"1,018,109",0060764899,C.S. Lewis,,,HarperCollins Publishers,"10,542",Hugo Award Nominee for Best Novel (1954),,October 16th 1950,Fantasy,"The Lion, the Witch and the Wardrobe"
3.99,"246,144",,Lewis Carroll,,,Gramercy Books,"5,382",,,1865,Classics,"0517223627
(ISBN13: 9780517223628)"
3.81,"177,433",0141439742,Charles Dickens,,554,Penguin Books,"3,762",CityRead London (2012),,1839,Fiction,Oliver Twist
3.94,"265,578",0439366771,Katherine Paterson,,,Trumpet Club Special Edition,"6,843",,,January 1st 1977,Young Adult,Bridge to Terabithia
4.19,"467,892",0307269981,Stieg Larsson,,,Alfred A. Knopf,"28,250",Anthony Award Nominee for Best Novel (2010),,2006,Fiction,Flickan som lekte med elden
4.48,"151,735",1595143068,Richelle Mead,,594,Razorbill,"8,438",Pennsylvania,Goodreads Choice Nominee for Young Adult Fantasy (2010),,Paranormal,Last Sacrifice
4.36,"383,578",1423101464,Rick Riordan,,,Disney Hyperion Books,"9,517",,,January 1st 2008,Fantasy,The Battle of the Labyrinth
3.75,"298,432",0385738935,Lauren Kate,Fallen,452,Delacorte Press,"14,539","Savannah, Georgia",,,Young Adult,Fallen
4.39,"189,930",1595142509,Richelle Mead,,489,Penguin Razorbill,"6,445",Montana,"Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011), Teen Read Award Nominee for Best Series (2010), Goodreads Choice for Goodreads Author, Nominee for Favorite Heroine, Nominee for Favorite Book (2010)",,Fantasy,Spirit Bound
3.93,"122,929",0140439447,Charles Dickens,,,Penguin Classics,"3,374",,,1850,Classics,David Copperfield
3.80,"223,546",0753453800,Robert Louis Stevenson,,,Kingfisher,"5,444",,,1883,Classics,Treasure Island
4.34,"85,007",0440178002,James Clavell,,,BantamDell,"2,325",,,1975,Historical Fiction,Shōgun
4.21,"377,754",0786856866,Rick Riordan,,,Disney Hyperion Books,"13,995",,,,Childrens,The Sea of Monsters
3.97,"241,782",0618711651,Jonathan Safran Foer,,,Mariner Books,"18,036",,,2005,Fiction,Extremely Loud and Incredibly Close
